birdnet_id,scientific_name,common_name,common_name_alt,taxon_group,record_type,scientific_name_aliases,common_name_aliases,inat_id,ebird_code,gbif_id,ncbi_id,avibase_id,birdlife_id,ml_taxon_code,xc_name,observationorg_id,wikidata_qid,observations_count,description_source,metadata_quality_score,metadata_quality_flags,image_url,image_author,image_license,image_source,common_name_en,common_name_ru,common_name_es,common_name_de,common_name_cs,common_name_fr,common_name_nl,common_name_pl,common_name_ja,common_name_pt,common_name_ca,common_name_bg,common_name_zh-CN,common_name_no,common_name_sv,common_name_da,common_name_sk,common_name_uk,common_name_tr,common_name_fi,common_name_sr,common_name_es_ES,common_name_es_MX,common_name_pt_PT,common_name_es_EC,common_name_hr,common_name_lt,common_name_fa,common_name_zh,common_name_cy
BN13784,Scytalopus superciliaris,White-browed Tapaculo,,Aves,species,,,14751,whbtap2,2490997,312124,5D26DC420C06ED3F,22703524,whbtap2,Scytalopus superciliaris,74829,,50,wikipedia,64,short_english_description,https://birdnet.cornell.edu/taxonomy/api/image/Scytalopus%20superciliaris?size=medium,Christian Artuso,cc-by-nc-nd,iNaturalist,White-browed Tapaculo,Белобровый тапакуло,Churrín Cejiblanco,Weißbrauentapaculo,štidlák bělobrvý,Mérulaxe bridé,Witbrauwtapaculo,krytonosek białobrewy,ノドジロオタテドリ,white-browed tapaculo,tapacul cellablanc,Беловеждо тапакуло,白眉窜鸟,hvitbryntapakulo,vitbrynad tapakul,Hvidbrynet Tapaculo,tapakulo jelšový,Тапакуло білобровий,Ak Kaşlı Tapakola,valkokulmatapakulo,Beloobrvasti tapakulo,Churrín cejiblanco,Churrín Cejiblanco,White-browed tapaculo,Churrín Ceja Blanca,obrvasta strmorepka,Baltabruvis topakulas,تپلک ابروسفید,,Tapacwlo aelwyn
BN13785,Scytalopus unicolor,Unicolored Tapaculo,,Aves,species,,,14742,unitap1,2490985,30435,,22703487,unitap1,Scytalopus unicolor,74821,,6,wikipedia,64,short_english_description,https://birdnet.cornell.edu/taxonomy/api/image/Scytalopus%20unicolor?size=medium,Stephan Lorenz Rockjumper Birding Tours,© Macaulay Library,Macaulay Library ML613649993,Unicolored Tapaculo,Одноцветный тапакуло,Churrín Unicolor,Hellbauchtapaculo,štidlák jednobarvý,Mérulaxe unicolore,Salvintapaculo,krytonosek jednobarwny,クロオタテドリ,unicolored tapaculo,tapacul unicolor,Едноцветно тапакуло,纯色窜鸟,gråtapakulo,cajamarcatapakul,Cajamarca Tapaculo,tapakulo jednofarebný,Тапакуло сизий,Tek Renkli Tapakola,harmaatapakulo,Jednobojni tapakulo,Churrín unicolor,Churrín Unicolor,Unicolored tapaculo,Tapaculo Unicolor,pepeljasta strmorepka,Vienspalvis topakulas,تپلک تکرنگ,,Tapacwlo unlliw
BN13786,Scytalopus urubambae,Vilcabamba Tapaculo,,Aves,species,,,14764,viltap1,2491008,2681251,4C306ABA15D11BA3,22733286,viltap1,Scytalopus urubambae,,,5,wikipedia,62,short_english_description|few_localized_descriptions,https://birdnet.cornell.edu/taxonomy/api/image/Scytalopus%20urubambae?size=medium,Wilbert Camacho Guillen,cc-by-nc,iNaturalist,Vilcabamba Tapaculo,Урубамбский тапакуло,Churrín de Vilcabamba,Vilcabambatapaculo,štidlák vilcabambský,Mérulaxe de Vilcabamba,Cuzcotapaculo,krytonosek inkaski,クスコオタテドリ,vilcabamba tapaculo,tapacul de Vilcabamba,Вилкабамбенско тапакуло,维尔窜鸟,vilcabambatapakulo,vilcabambatapakul,Urubambatapaculo,tapakulo behavý,Тапакуло ельфовий,Vilkabamba Tapakolası,vilcabambantapakulo,Tapakulo iz Vilkabambe,Churrín de Vilcabamba,Churrín de Vilcabamba,Vilcabamba tapaculo,Tapaculo de Vilcabamba,vilkabampska strmorepka,Kuskinis topakulas,,,
BN13787,Scytalopus vicinior,Narino Tapaculo,Nariño Tapaculo,Aves,species,,,14767,nartap2,2490999,30440,,22703505,nartap2,Scytalopus vicinior,,,48,wikipedia,64,short_english_description,https://birdnet.cornell.edu/taxonomy/api/image/Scytalopus%20vicinior?size=medium,Francesco Veronesi,cc-by-sa,iNaturalist,Narino Tapaculo,Колумбийский тапакуло,Churrín de Nariño,Nariñotapaculo,štidlák nariňský,Mérulaxe du Narino,Nariñotapaculo,krytonosek ponury,マユナシオタテドリ,nariño tapaculo,tapacul de Nariño,Нариньоенско тапакуло,太平洋窜鸟,nariñotapakulo,nariñotapakul,Nariñotapaculo,tapakulo bridlicový,Наріно,Narinyo Tapakolası,nuohoojatapakulo,Biglišući tapakulo,Churrín de Nariño,Churrín de Nariño,Nariño tapaculo,Tapaculo de Nariño,sivoprsa strmorepka,Narinjinis topakulas,,Narino Tapaculo,Tapacwlo Narino
BN13788,Scytalopus whitneyi,Ampay Tapaculo,,Aves,species,,,1289542,amptap1,11132937,,7E2D54EBDC3ABB29,,amptap1,Scytalopus whitneyi,1015503,,4,wikipedia,96,,https://birdnet.cornell.edu/taxonomy/api/image/Scytalopus%20whitneyi?size=medium,javatru,cc-by-nc,iNaturalist,Ampay Tapaculo,Ампайский тапакуло,Churrín de Ampay,Ampaytapaculo,,Mérulaxe de Whitney,Ampaytapaculo,krytonosek jasnobrewy,アンペイオタテドリ,ampay tapaculo,tapacul d'Ampay,Апуримакско тапакуло,安派山窜鸟,ampaytapakulo,ampaytapakul,,tapakulo nohovcový,Тапакуло світлобровий,Ampay Tapakolası,,Ampajski tapakulo,Churrín de Ampay,Churrín de Ampay,Ampay tapaculo,Tapaculo del Ampay,,Ampajinis topakulas,,,
BN13789,Scytalopus zimmeri,Zimmer's Tapaculo,,Aves,species,,,14747,zimtap1,2490987,312119,24F39183821BAAE7,22733291,zimtap1,Scytalopus zimmeri,159092,,22,wikipedia,62,short_english_description|few_localized_descriptions,https://birdnet.cornell.edu/taxonomy/api/image/Scytalopus%20zimmeri?size=medium,Francisco González Táboas,cc-by-nc,iNaturalist,Zimmer's Tapaculo,Серогорлый тапакуло,Churrín de Zimmer,Graukehltapaculo,štidlák Zimmerův,Mérulaxe de Zimmer,Zimmertapaculo,krytonosek boliwijski,ボリビアミヤマオタテドリ,zimmer's tapaculo,tapacul de Zimmer,Малко тапакуло,济氏窜鸟,tarijatapakulo,chuquisacatapakul,Chuquisacatapaculo,tapakulo Zimmerov,Тапакуло таріянський,Zimmer Tapakolası,kivikkotapakulo,Cimerov tapakulo,Churrín de Zimmer,Churrín de Zimmer,Zimmer's tapaculo,Churrín de Zimmer,bolivijska strmorepka,Baltagurklis topakulas,,,
BN13790,Scythrops novaehollandiae,Channel-billed Cuckoo,,Aves,species,,,1940,chbcuc2,2496204,30394,D9638667C2360B03,22684079,chbcuc2,Scythrops novaehollandiae,71239,,2835,wikipedia,98,,https://birdnet.cornell.edu/taxonomy/api/image/Scythrops%20novaehollandiae?size=medium,Marie Tarrant,cc-by-nc,iNaturalist,Channel-billed Cuckoo,Исполинский коэль,Cuco Tucán,Nashornkuckuck,kukačka obrovská,Coucou présageur,Reuzenkoekoek,żłobianka,オオオニカッコウ,cuco-tucano,cucut tucà,Гигантска плодоядна кукувица,沟嘴鹃,fikengjøk,jättegök,Kæmpegøg,kukučka obrovská,Зозуля-велет,Tukan Guguğu,jättikäki,Džinovska kukavica,Cuco tucán,Cuco Tucán,Cuco-tucano,Cuco Tucán,velika kukavica,Raukšlėtasnapė gegutė,کوکوی نوککانالی,沟嘴鹃,Cöel pigrychog
BN13791,Sechellophryne gardineri,Gardiner's Seychelles Frog,,Amphibia,species,,,67182,,2423447,406553,,,,,,,36,wikipedia,53,short_english_description,https://birdnet.cornell.edu/taxonomy/api/image/Sechellophryne%20gardineri?size=medium,Paolo Mazzei,cc-by-nc,iNaturalist,Gardiner's Seychelles Frog,Лягушка Гардинера,,,mahénka ostrovní,,Gardiners seychellenkikker,,ガーディナーセーシェルガエル,,,,加氏塞舌尔蛙,,,,,,,,,,,,,,Siluetinė pūsliavarlė,,加德纳蛙,
BN13792,Segestidea queenslandica,Queensland Palm Katydid,,Insecta,species,,,851021,,1690166,,,,,,,,152,,36,missing_english_description|few_localized_descriptions|weak_external_ids,https://birdnet.cornell.edu/taxonomy/api/image/Segestidea%20queenslandica?size=medium,Dr. Jessa Thurman,cc-by-nc,iNaturalist,Queensland Palm Katydid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BN13793,Sehirus cinctus,White-margined Burrowing Bug,,Insecta,species,,,360116,,2078783,1585283,,,,,,,12311,wikipedia,83,,https://birdnet.cornell.edu/taxonomy/api/image/Sehirus%20cinctus?size=medium,Sam Kieschnick,cc-by,iNaturalist,White-margined Burrowing Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BN13794,Sehirus luctuosus,Forget-me-not Shieldbug,,Insecta,species,,,551076,,4486163,1134738,,,,,,,791,wikipedia,81,,https://birdnet.cornell.edu/taxonomy/api/image/Sehirus%20luctuosus?size=medium,Nikolai Vladimirov,cc-by-nc,iNaturalist,,Землекоп чёрный,,Kleine Erdwanze,,Séhire des myosotis,Vergeet-mij-nietgraafwants,Ziemik spiżowy,,,,,,mørktorntege,mindre taggbening,Mørk tornben,,,,sysipiilolude,,,,,,,Neužmirštuolinė urvablakė,,,
BN13795,Seiurus aurocapilla,Ovenbird,,Aves,species,,,62550,ovenbi1,2489590,182946,CEA5B6AA48218C8A,22721779,ovenbi1,Seiurus aurocapilla,78562,,27694,wikipedia,92,,https://birdnet.cornell.edu/taxonomy/api/image/Seiurus%20aurocapilla?size=medium,Ryan Schain,© Macaulay Library,Macaulay Library ML296753061,Ovenbird,Дроздовый певун,Reinita Hornera,Pieperwaldsänger,lesňáček zlatohlavý,Paruline couronnée,Ovenvogel,lasówka złotogłowa,カマドムシクイ,mariquita-de-coroa-ruiva,bosquerola reietó,Златоглаво коприварче,橙顶灶莺,ovnparula,brandkronad skogssångare,Brillevanddrossel,horárik žltohlavý,Смугастоволець оливковий,Fırıncı Ötleğen,tulipääkerttuli,Severnoamerička pećarka,Reinita hornera,Chipe Suelero,Mariquita-de-coroa-ruiva,Reinita Hornera,zlatnokruna sjeničica,Geltongalvis sėjūras,مرغ تنورساز,橙頂灶鶇,Aderyn ffwrn
BN13796,Selasphorus ardens,Glow-throated Hummingbird,,Aves,species,,,6368,glthum1,2476846,1507485,DA7DAB3E38948576,22688308,glthum1,Selasphorus ardens,72087,,1,wikipedia,62,short_english_description|few_localized_descriptions,https://birdnet.cornell.edu/taxonomy/api/image/Selasphorus%20ardens?size=medium,John Gerrard Keulemans,pd,iNaturalist,Glow-throated Hummingbird,Пламенный колибри,Colibrí Ardiente,Feuerkehlelfe,kalypta rudohrdlá,Colibri ardent,Gloeikeelkolibrie,rudaczek panamski,パナマノドジロフトオハチドリ,glow-throated hummingbird,colibrí ardent,Панамско колибри,辉喉煌蜂鸟,glokolibri,glödhakad kolibri,Glødstrubet Dværgkolibri,čmeľovec žiarivý,Колібрі-крихітка вогнистогорлий,Kor Gerdanlı Kolibri,liekkikurkkukolibri,Sjajnogrli kolibri,Colibrí ardiente,Colibrí Ardiente,Glow-throated hummingbird,Colibrí Ardiente,azuerski kolibrić,Ugninis selasforas,,辉喉煌蜂鸟,Sïedn gyddfloyw
